Sentiment,News Headline
neutral,accord to gran   the company have no plan to move all production to russia   although that be where the company be grow
neutral,technopoli plan to develop in stage an area of no less than 100000 square meter in order to host company work in computer technology and telecommunications   the statement say
negative,the international electronic industry company elcoteq have lay off ten of employee from its tallinn facility   contrary to early layoff the company contract the rank of its office worker   the daily postimee report
positive,with the new production plant the company would increase its capacity to meet the expect increase in demand and would improve the use of raw material and therefore increase the production profitability
positive,accord to the company s update strategy for the year 20092012   basware target a longterm net sale growth in the range of 20   40   with an operate profit margin of 10   20   of net sale
positive,financing of aspocomp s growth aspocomp be aggressively pursue its growth strategy by increasingly focus on technologically more demanding hdi print circuit board pcb
positive,for the last quarter of 2010   componenta s net sale double to eur131 m from eur76 m for the same period a year early   while it move to a zero pretax profit from a pretax loss of eur7 m
positive,in the third quarter of 2010   net sale increase by 52   to eur 2055 mn   and operating profit by 349   to eur 235 mn
positive,operating profit rise to eur 131 mn from eur 87 mn in the corresponding period in 2007 represent 77   of net sale
positive,operate profit total eur 211 mn   up from eur 186 mn in 2007   represent 97   of net sale
positive,teliasonera tlsn say the offer be in line with its strategy to increase its ownership in core business holding and would strengthen eesti telekom s offer to its customer
positive,stora enso   norske skog   mreal   upmkymmene credit suisse first boston   cfsb   raise the fair value for share in four of the large nordic forestry group
positive,a purchase agreement for 7200 ton of gasoline with delivery at the hamina terminal   finland   be sign with neste oil oyj at the average platt index for this september plus eight us dollar per month
positive,finnish talentum report its operating profit increase to eur 205 mn in 2005 from eur 93 mn in 2004   and net sale total eur 1033 mn   up from eur 964 mn
positive,clothing retail chain seppælæ s sale increase by 8   to eur 1552 mn   and operating profit rise to eur 311 mn from eur 171 mn in 2004
positive,consolidated net sale increase 16   to reach eur74 8 m   while operating profit amount to eur0 9 m compare to a loss of eur0 7 m in the prior year period
positive,foundry division report its sale increase by 97   to eur 631 mn from eur 575 mn in the corresponding period in 2006   and sale of the machine shop division increase by 164   to eur 412 mn from eur 354 mn in the corresponding period in 2006
positive,helsinki   afx    share close high   lead by nokia after it announce plan to team up with sanyo to manufacture 3 g handset   and by nokian tyre after its fourthquarter earning report beat analyst   expectation   dealer say
positive,incap contract manufacturing services pvt ltd   a subsidiary of incap corporation of finland   plan to double its revenue by 20072008
positive,its board of director will propose a dividend of eur0 12 per share for 2010   up from the eur0 08 per share pay in 2009
positive,lifetree be found in 2000   and its revenue have rise on an average by 40   with margin in late 30
positive,  filippova   a trilateral agreement on investment in the construction of a technology park in st petersburg be to have be sign in the course of the forum   day of the russian economy   that open in helsinki today
positive,megafon s subscriber base increase 161   in 2009 to 505 million user as of december 31   while its market share by the number of customer amount to 24   as of late 2009   up from 23   as of late 2008   accord to teliasonera estimate
positive,net income from life insurance double to eur 68 mn from eur 32 mn   and net income from nonlife insurance rise to eur 52 mn from eur 15 mn in the corresponding period in 2009
positive,net sale increase to eur193 3 m from eur179 9 m and pretax profit rise by 342   to eur43 1 m   eur1   usd1 4
positive,net sale surge by 185   to eur167 8 m teleste say that eur20 4 m   or 122    of the sale come from the acquisition make in 2009
positive,nordea group s operating profit increase in 2010 by 18 percent yearonyear to 364 billion euro and total revenue by 3 percent to 933 billion euro
positive,operate profit for the ninemonth period increase from eur13 6 m   while net sale increase from eur394 7 m   as compare to the corresponding period in 2005
positive,operate profit for the ninemonth period increase from eur3 1 m and net sale increase from eur61 5 m   as compare to the corresponding period in 2007
positive,operate profit for the threemonth period increase from eur1 2 m   while revenue increase from eur20 2 m   as compare to the corresponding period in 2005
positive,the brazilian unit of finnish security solution provider fsecure sign up 1500 new client last year   online news source reseller web quote the division s commercial director   vladimir brand_o   as say
